Title,Languages,Score
Godzilla: Tokyo S.O.S.,"Japanese, English",6.6
"Godzilla, Mothra and King Ghidorah: Giant Monsters All Out Attack",Japanese,7.1
Godzilla vs. Destoroyah,"Japanese, English",7
Godzilla vs. Biollante,"Japanese, English",6.6
Godzilla vs. King Ghidorah,"Japanese, English",6.6
Godzilla & Mothra: Battle for Earth,"English, Japanese",6.4
Godzilla Raids Again,Japanese,5.9
Godzilla vs. Mechagodzilla II,"Japanese, English, Russian",6.6
Godzilla vs. Mechagodzilla,Japanese,6.4
Godzilla vs. Hedorah,Japanese,6.1
Godzilla vs. Gigan,Japanese,5.7
Godzilla,"English, Japanese",6.4
Godzilla Against Mechagodzilla,Japanese,6.7
Godzilla vs. Megaguirus,Japanese,6.2
Glasses,Japanese,6.8
Ghidorah: The Three Headed Monster,Japanese,6.7
Destroy All Monsters,Japanese,6.6
The Brain Man,Japanese,6.5
Boys,"Dutch, English",7.4
Bandage,Japanese,6.7
Another World,English,4.4
All Monsters Attack,Japanese,3.9
Abunai Deka Returns,Japanese,4.7
Abunai deka forever the movie,Japanese,4.5
Love Island Australia,English,5.4
The Scent of Burning Grass,Vietnamese,8.2
Fiction.,"English, Spanish, French",8.9
7 Letters,"English, Malay, Hokkien, Mandarin, Malayalam",6.5
The Guest,English,6.7
The Legend of Secret Pass,English,5
Ava,"English, German, French, Chinese",5.4
Rust Creek,English,5.9
The 2nd,English,3.8
Finding Agnes,"Filipino, English",4.7
The Dare,English,5.1
Respiro,"Italian, Sicilian",7
Princess Sarah,Filipino,7.9
The Swiss Family Robinson,English,6.4
The Embalmer,Italian,7
Heliopolis,"Arabic, French",6.5
Eye of the Sun,"Arabic, Italian",6.9
Two Women,"Italian, German",7.8
Consequences of Love,Italian,7.5
Capri-Revolution,"Italian, Neapolitan, English, French, German, Russian",5.4
Bob & Marys - Criminali a domicilio,English,7.4
A Perfect Day,"English, Serbian, Spanish, French, Bosnian",6.8
The Robbers,Mandarin,5.6
A Gift,Thai,7.2
De Piraten van Hiernaast,Dutch,6.3
Scent of Love,Korean,6.6
Nakee,Thai,5.6
Go Ahead,Chinese,8.6
Orlean,Russian,5.8
Gibiate,Japanese,4.7
Pitch,English,7.4
Puppet Syndrome,Russian,5.9
My Dog Dou Dou,Mandarin,5.6
October Sonata,Thai,6.7
One More Chance,"Filipino, Tagalog",7.4
Pee Nak 2,Thai,6
Phua Chu Kang The Movie,"Malay, English",4.9
Pulau Hantu,English,5.7
Remember When,English,7.5
Rompis,Indonesian,7.9
Secret Zoo,Korean,6.1
Snakes & Ladders,English,5.1
Sunny: Our Hearts Beat Together,Japanese,6.8
That Girl in Pinafore,"English, Chinese, Malay",7.2
Titus: Mystery of the Enygma,Indonesian,8
We Not Naughty,"Malay, English, Mandarin",5.5
When Will You Get Married?,Indonesian,7.3
You Are My Sunshine,Korean,7
Hello World,Japanese,6.8
Go Eight,Indonesian,6.9
Firegate,Indonesian,5.6
Farewell Song,Japanese,6.9
Every Day A Good Day,Japanese,7.1
Distance,Japanese,6.9
Crazy Crying Lady,Thai,5.1
City Sharks,English,7.1
Chrisye,Indonesian,7.3
Chennai 2 Singapore,Tamil,6
Cafe Funiculi Funicula,Japanese,6.9
Bangkok Dark Tales,Thai,5.6
Asih,Indonesian,5.1
Army Daze,"English, Malay, Hokkien, Mandarin",6.3
Ashfall,"Korean, English, Chinese",6.2
Muita Calma Nessa Hora 2,Portuguese,4.8
Alucinados,Portuguese,4.7
A Very English Scandal,English,7.7
The Gulf,English,6.2
Mr. Jones,English,5.8
Satellite Boy,English,6.6
The Sisters Brothers,English,7
Toomelah,English,6.2
All About the Benjamins,"English, French",5.9
The Man Who Killed Don Quixote,"English, Spanish",6.4
The Truth Will Out,English,4
Rebecka Martinsson,Swedish,7.2
Deliver Us,Italian,6.4
Scandalous,Spanish,6
Tesla,English,5
The Immortal,"Italian, Latvian, Neapolitan",6.4
The Informer,"English, Polish, Spanish",6.6
Yummy,"Dutch, English",6
Men at Work - Miami,"Dutch, English",4.5
Go Fish,English,5.6
Fukushima 50,Japanese,6.2
Force of Nature,English,4.5
Dantes Inferno,English,7.5
Bumperkleef,Dutch,5.8
The Uncanny Counter,Korean,8.1
Die Gustloff,German,5.8
Larry the Cable Guy: Remain Seated,English,6.7
Paw Patrol: Jet to the Rescue,,6.2
The Postcard Killings,"Dutch, English, Swedish, Russian, German, French",5.7
Primal,English,4.9
Survive the Night,English,4.7
True History of the Kelly Gang,"English, Latin",6
Stavisky...,"French, English",6.6
The Inheritor,"French, Italian",6.4
Widows,"English, Spanish, Polish",6.9
The Night Caller,French,7
The Wretched,English,5.8
The Professional,French,7.5
Zombillenium,French,6.4
The Vultures,"French, German",6.2
Love Is a Funny Thing,"French, English",6.3
Le marginal,French,6.4
Le guignolo,French,6.1
Lincorrigible,Greek,5.5
Hold-Up,"English, French",6.6
Happy Easter,French,6.4
Cop or Hood,French,6.7
City of Joy,English,6.5
Cartouche,French,6.6
Body of My Enemy,French,6.7
Buffaloed,English,6.2
Ace of Aces,"German, French",6.7
Best of the Best,English,6.5
1991,"French, Italian, English, German, Greek, Spanish",7.1
Space Brothers,Japanese,6.7
Tower of God,Japanese,7.9
To The Abandoned Sacred Beasts,Japanese,6.5
Yashahime: Princess Half-Demon,Japanese,7.6
Rich Man,Korean,6.7
Path of the Dragons,Japanese,6.8
Olympia Kyklos,Japanese,6.7
Moriarty the Patriot,Japanese,7.7
Im Standing on a Million Lives,"English, Sanskrit",6.5
DRAGON QUEST The Adventure of Dai,Japanese,8.1
Double Fantasy,Japanese,7.1
Dennou Coil,Japanese,7.9
The Day I Became a God,Japanese,6.6
Coffee & Vanilla,English,5.8
Blue Spring Ride,Japanese,7.4
Beelzebub,"Japanese, English",7.6
Mozu the Movie,Japanese,4.9
Motherless Brooklyn,"English, French",6.8
Mothra,"Japanese, English, Indonesian",6.6
Nana 2,Japanese,6.1
Nana,"Japanese, English",7.1
Nightmare Cinema,English,5.5
Ouran High School Host Club,"Japanese, English",8.2
Pandemic,English,4.4
Prison 13,Japanese,4.5
Queen Bee,English,6.7
Rebirth of Mothra II,Japanese,5.4
Rebirth of Mothra III,Japanese,6
Rebirth of Mothra,Japanese,5.9
Richard Jewell,English,7.5
Rodan,"Japanese, Mandarin, Tagalog",6.3
Rookies the Movie: Graduation,Japanese,6.4
Sand Chronicles,Japanese,8.7
Sky of Love,Japanese,7
SPEC: Heaven,Japanese,5.9
Stolen Identity,Japanese,5.4
The Swindlers,"Korean, Chinese",6.6
Tidal Wave,"Korean, English",5.6
The War of the Gargantuas,Japanese,6.4
The Wings of the Kirin,Japanese,6.6
The Human Vapor,Japanese,6.3
The House of Hanging,Japanese,6.3
Hold Up Down,Japanese,6.6
Hell Girl,"Japanese, English",7.5
Hard Luck Hero,Japanese,6.1
The H-Man,Japanese,6.1
Glory Of Team Batista,Japanese,5.9
The Ghost of Yotsuya,Japanese,7
Frankenstein Conquers the World,Japanese,5.5
The Floating Castle,Japanese,6.4
Fantastipo,Japanese,5.8
Dragon Head,Japanese,5.6
Dororo,Japanese,8.4
The Devils Island,Polish,7.1
The Devils Ballad,Polish,7.1
Dare to Stop Us,Japanese,6.4
The Cat in Their Arms,Japanese,5.2
Cheese in the Trap,Korean,7.4
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"English, Chinese",6.1
Billionaire Boys Club,English,5.6
April Bride,Japanese,6.2
Arizona,English,5.8
American Animals,"English, Dutch",7
The 8-Year Engagement,Japanese,7.1
64: Part 2,Japanese,6.3
Barangay 143,"English, Filipino",6.2
Third Is My First,"Filipino, Tagalog",7
Iska,"Tagalog, Filipino",6.6
Heartbreak High,English,7.8
Fabulous Lives of Bollywood Wives,Hindi,3.6
Mosul,"English, Arabic",8.3
Unexpectedly Yours,"Filipino, Tagalog",6.9
Hard Kill,English,3.7
Fantastica,"Tagalog, Filipino",4.1
The Call,English,6.7
The Beast,"French, Italian, English",5.7
A Go! Go! Cory Carson Christmas,English,6.2
Valentino,English,6.1
Die Frau vom Checkpoint Charlie,"German, English, Finnish",5.9
Notes for My Son,Spanish,6.2
Operation Valkyrie,German,6.8
Hillbilly Elegy,English,6.8
Dragons: Rescue Riders: Huttsgalor Holiday,English,6
Andhaghaaram,Tamil,7.6
Shawn Mendes: In Wonder,English,6.5
The Suit,Russian,6.6
Whose Streets?,English,5.4
In Line,English,5.7
Voices of Fire,English,6.9
Mismatched,Hindi,5.4
If Anything Happens I Love You,None,7.9
Alien Xmas,English,6.2
Heart & Soul,Hindi,6.7
Playing with Fire,"English, Spanish, French",5.1
Rocketman,English,7.3
The Princess Switch: Switched Again,English,5.3
Gemini Man,"English, French",5.7
Crawl,English,6.1
As Aventuras de Poliana,Portuguese,7.5
A Wizards Tale,English,7.6
My Amnesia Girl,"Filipino, Tagalog, English",6.8
Three Words to Forever,"Tagalog, Filipino",7.5
Holiday Home Makeover with Mr. Christmas,English,5.7
Soul Conductor,Russian,4.3
Sparta,Russian,6.4
Kevin Hart: Zero F**ks Given,English,6
We Are the Champions,Danish,5
Die Sturmflut,German,5.3
"A Genius, Two Partners and a Dupe",Italian,6.4
Ainu Mosir,"Japanese, English, Aboriginal",6.7
Survivor,"English, Pushto, Mandarin",5.6
18 Again,Korean,8.2
Beyblade Burst Rise,English,7.5
A Very Country Christmas,English,6.1
Hometown Holiday,English,5.1
Arkansas,English,6
Alter Me,"Tagalog, Filipino",5.8
Porta dos Fundos: Contrato Vitalicio,Portuguese,3.8
Tattoo Fixers on Holiday,English,6.6
Romy,"German, French, English",6.1
Dresden,"German, English",6.6
A Guy & A Girl,English,6.4
The Good Plumber,Czech,5.6
Sezn@mka,Czech,3.6
The Life Ahead,"Italian, Spanish, Hebrew, Romanian",6.8
Jingle Jangle: A Christmas Journey,English,6.5
Memories of a Teenager,Spanish,6.5
Ludo,Bengali,2.8
Ethos,English,7.5
Scandal in Sorrento,"Italian, French",6.5
40 and Single,English,7.7
The Liberator,"Spanish, English, French",6.8
Trial 4,English,7.4
Aunty Donnas Big Ol House of Fun,English,8.8
What We Wanted,German,5.8
First Love,Japanese,6.8
A Very Special Love,"Filipino, Tagalog, English",6.7
Axolotl Overkill,"German, English, Spanish, French",5.3
Territory,Russian,6.5
The Hero,English,6.5
Trash Truck,,8.4
DASH & LILY,English,2.2
A Lion in the House,English,8.7
Girls Revenge,English,8.1
Citation,"English, Wolof, French, Yoruba",6
Who You Think I Am,French,6.9
Wrong Kind of Black,English,7.2
The SpongeBob Movie: Sponge on the Run,"English, Spanish",6
Operation Christmas Drop,English,5.8
Carmel: Who Killed Maria Marta?,Spanish,7.1
Unter Deutschen Betten,"German, Polish",3.7
Paranormal,English,6.3
Ten Years Late,Chinese,6.6
Christmas with a Prince,English,5.2
Mr. Heart,Korean,7.3
Peninsula,English,7.1
The Secret: Dare to Dream,English,6.4
The War of the Roses,English,6.9
Jay and Silent Bob Reboot,English,5.7
Harriet,English,6.6
Dolittle,"English, French",5.6
Cats,English,2.8
Jan Palach,Czech,6.6
Stuck with a Perfect Woman,Czech,6.3
Hastrman,Czech,6.5
El rey del sapo,"Spanish, English",5.9
Love & Anarchy,"English, French",6.1
One More Try,"English, Filipino, Tagalog",6.1
Alone/Together,"Filipino, Tagalog",6.9
The Mermaid,Mandarin,6.2
Night Shift,English,6.6
The Yard,Turkish,7.3
The Big Trip,English,5.1
Beyond the Edge,English,4.5
Miss India,"Telugu, Tamil",3.3
Leisure Time,English,3.6
Prince of the Seas,Arabic,5.2
Feelings,French,6.3
Ali Babas Cinema,French,5.6
MOTHER,Korean,7.8
The Unicorn,English,7.2
The Parkers,English,6.8
One on One,English,7.2
Man with a Plan,English,7
Leah Remini: Scientology and the Aftermath,English,9.1
Half & Half,English,7
Girlfriends,English,7.2
Forged in Fire,English,8.4
Evil,"Swedish, Finnish",7.8
Chappelles Show,English,8.5
The Outpost,English,6.8
Raising Victor Vargas,"English, Spanish",7.2
Tortilla Soup,"English, Spanish",6.7
Tremors: Shrieker Island,English,5.5
Villain,Malayalam,6.3
Walk Away from Love,English,7.1
Welcome to Sudden Death,English,4.2
Wish Upon a Unicorn,English,5.5
"Yes, God, Yes",English,6.1
I Am Vengeance: Retaliation,English,3.4
I Am Woman,English,6.6
The Hummingbird Project,"Russian, English, Spanish, Hebrew, Italian",6.2
Fishermans Friends,None,7.1
Capital in the Twenty-First Century,"English, French",7.3
Amandla! A Revolution in Four Part Harmony,"English, Zulu",7.4
Mias Magic Playground,,7
Supa Strikas,English,7.1
Oh My Baby,Korean,7.3
The Bus Stop,English,6.5
Deadly Class,English,7.6
Sleeper,"English, Yiddish",7.2
Separated at Birth,English,5.8
The Mountain Between Us,English,6.4
Homeland,English,8.3
Im Not Ready for Christmas,"English, Sanskrit",6.5
Habermann,"German, Czech, Latin",7.1
Broadcasting Christmas,English,6.1
A Belle for Christmas,English,4.9
The Prague Orgy,"English, Czech",5
A Wedding for Christmas,English,5.4
Christmas Under Wraps,English,6.4
12 Gifts of Christmas,English,6.5
1917,"English, French, German",8.3
Swedish Dicks,"English, Swedish",6.7
A Perfect Christmas List,English,5.7
Wheels of Fortune,Dutch,7.2
Ghosts of War,English,5.5
Christmas Land,English,5.9
My Christmas Inn,English,5.6
Christmas Wonderland,English,5.9
Christmas Made To Order,English,5.7
Abigail,English,4.9
You Animal!,"Filipino, English",6.9
Love in Lapland,"French, Swedish, English",6
Jurek,Polish,7.4
Campo Grande,Portuguese,6.3
Pagpag: Nine Lives,"Filipino, Tagalog",5.5
Rogue City,French,6.1
Guillermo Vilas: Settling the Score,"Spanish, English",7.1
Blood of Zeus,English,7.6
Secrets of the Saqqara Tomb,"English, Arabic",7.3
Kaali Khuhi,Hindi,3.4
His House,"English, Dinka",6.5
Holidate,English,6.9
Gipsy Queen,"German, Romany",6.2
The Queens Gambit,"English, German, French",7.3
Move,German,6.7
Barbarians,Serbian,5.5
A Suitable Boy,English,5.8
Over the Moon,"Italian, English",5.6
VIP,Korean,7.7
Doctor John,Korean,8.2
Cadaver,Thai,5.1
Im losing it,"English, Sanskrit",6.5
Sleepless Nights,Arabic,7
Someday or One Day,Mandarin,8.6
Little Kingdom,English,6.5
Bear with Us,English,7.3
Rebecca,"English, French",8.1
The Hows of Us,"Filipino, Tagalog, English",7.3
Exes Baggage,"Filipino, Tagalog",6.7
Bending the Arc,English,7.7
Taras Bulba,"English, Latin",6.4
The Envelope,Russian,5.5
The Magic School Bus Rides Again The Frizz Connection,English,5
Disappearance at Clifton Hill,English,5.5
We Are All For The Fatherland,French,4.9
Out of Life,"French, Arabic, English",6.8
Panoptic,Arabic,6.3
Taxi Ballad,"Arabic, English",6
The Kite,Arabic,6.5
What Did I Mess,Arabic,7.2
West Beirut,"Arabic, French",7.7
Whispers,English,4.3
Zozo,"Arabic, Swedish",6.6
Listen,English,4.8
Heritages,"Arabic, French",6.5
Ghadi,Arabic,7.4
Bosta,Arabic,6.3
Beirut Oh Beirut,Arabic,6.7
Start-Up,Korean,6.3
More,None,8.1
Tayos Singalong Show,"Korean, English",5.6
Someone Has to Die,Spanish,6.3
Grand Army,English,7.5
Dream Home Makeover,English,5.5
The Trial of the Chicago 7,English,7.8
Brahms: The Boy II,English,4.6
When My Love Blooms,Korean,7.7
Social Distance,English,5.6
Rooting for Roona,"Bengali, English",7.1
Disconnect,English,7.5
A Babysitters Guide to Monster Hunting,English,8.2
3 Non-Blondes,English,7.1
Babylon,English,7.1
Bureau of Magical Things,English,6.7
Saving Sally,"English, Filipino",7.6
The Eve,English,4.1
Those Who Remained,Hungarian,7.2
Guerilla,"Hungarian, German, Russian",5.8
Alice Junior,"Portuguese, French",6.8
The Cabin with Bert Kreischer,English,7.1
Octonauts & the Great Barrier Reef,English,6.5
The Three Deaths of Marisela Escobedo,Spanish,8.3
Fida,Hindi,5.5
BLACKPINK: Light Up the Sky,"Korean, English, Thai",7.4
A Choo,Mandarin,5.4
Disco Dancer,"Hindi, English",6.5
Dil,Telugu,7
Palermo Hollywood,Spanish,5.3
The Haunting of Bly Manor,English,7.4
Deaf U,English,6.4
The Forty-Year-Old Version,English,7.2
Ginny Weds Sunny,Hindi,5.6
Bigflo & Oli: Hip Hop Frenzy,"English, French",6.9
Monaco Franze,German,8.2
Private Lives,"English, French, German",6.8
Enterprice,English,5.8
Do Do Sol Sol La La Sol,Korean,7.4
Decibels of Love,Czech,2
The Watermill Princess 2,Czech,4.2
The Tank Battalion,Czech,6.6
Rebels,French,6.2
To the Lake,Russian,7.3
Hubie Halloween,English,5.2
The Crew,"English, Spanish",5.7
The Rest Of Us,"English, French",6.2
Lucky Punch,French,5.7
Yu-Gi-Oh! Vrains,"English, Japanese",6.2
Doraemon the Movie: Nobitas Treasure Island,Japanese,6.7
Honey Boy,"English, Spanish",7.3
Black Christmas,English,7.2
Jujutsu Kaisen,Japanese,8.7
Bad Boy Billionaires: India,English,8
David Attenborough: A Life on Our Planet,English,9
Spotlight,English,8.1
Judy,English,6.8
"Ich liebe alles, was ich an dir hasse",German,4.5
Song Exploder,English,7.5
Emily in Paris,"French, English",7.1
The Binding,English,3.6
Serious Men,"English, Hindi",6.8
Vampires vs. the Bronx,"English, Spanish",5.6
Youve Got This,English,7.7
Dick Johnson Is Dead,English,7.5
The Dentist,English,5.3
A Madea Family Funeral,English,4.5
Secreto bien guardado,Spanish,4.9
Ricky Zoom,English,6.6
Shivers,"English, French",6.4
Octav,Romanian,6.9
LEmpereur de Paris,Greek,5.5
All Because of You,Malay,3.6
Banana,English,7.5
Aliens,English,8.3
A Moving Image,English,5.8
Rocks,German,7.6
Tucked,English,6.6
White Teeth,English,7.4
Elsewhere,English,5.4
Daria,English,8
Familiar Wife,Korean,7.5
Code Lyoko,"English, French",7.3
Im Leaving Now,"English, Sanskrit",6.5
The Boys in the Band,English,6.8
American Murder: The Family Next Door,English,7.2
Happy New Year,Hindi,5
Amundsen,"Norwegian, English",6.2
Michelle Buteau: Welcome to Buteaupia,English,7
Poacher,English,6.6
Baxu and the Giants,"English, Nama",7
"Whose Vote Counts, Explained",English,7.3
Welcome,Hindi,6.9
The School Nurse Files,Korean,6.5
Sneakerheads,English,6.1
A Perfect Crime,"None, English",6.3
Time Out,French,7.4
My Mothers Wound,"Italian, English, French",6.8
Rhino Season,"Kurdish, Persian, Turkish, English",6.4
Enola Holmes,English,6.6
Coming from Insanity,English,5.1
Wszystkie kobiety Mateusza,Polish,4.4
The Playbook,English,5.9
Mighty Express,English,4.7
Lun dans lautre,Greek,5.5
Kiss the Ground,English,8.3
A Love Song for Latasha,English,6.7
Rojo,Spanish,6.4
On the Quiet,Hungarian,6.1
I Hope Youll Die Next Time,English,6.4
Gypsy in Space,,6.6
One Day,English,7
Residue,English,6.1
High & Low The Worst,English,7.6
High & Low The Movie 3 / Final Mission,English,7.6
Road To High & Low,Japanese,7
High & Low The Movie 2 / End of Sky,English,7.6
High & Low The Red Rain,English,7.6
High & Low The Movie,English,7.6
Cypher,English,6.8
Dr Jason Leong Hashtag Blessed,English,7
O mnie sie nie martw,Polish,6.5
Saving Flora,English,5.8
Sing On!,English,6.3
Ratched,English,7.3
The Last Word,English,6.6
Jurassic World Camp Cretaceous,English,7.4
Dragons Dogma,Mandarin,7.1
Challenger,English,5.8
The American Barbecue Showdown,English,7.2
The Paramedic,Spanish,5.6
The Royal Bengal Tiger,Bengali,6.9
Saheb Biwi Aur Gangster Returns,Hindi,6.8
Santa Banta Pvt Ltd,"English, Hindi",2.8
Whipped,"English, Italian",4.6
Horrid Henrys Gross Day Out,English,6.2
GIMS: On the Record,French,6.7
The Devil All The Time,English,7.1
The Blue Elephant 2,Arabic,8.2
Black,"Hindi, English",8.2
Anaamika,"Tamil, Telugu",5.6
Battle of the Sexes,English,6.7
Patti Cake$,English,6.8
A Violent Life,French,6
Yuma,"Polish, German",6
Gogglebox,English,7.4
A Nice Girl Like You,English,5.1
Nothing for Mahala,"English, Afrikaans",7.4
The Donkey King,Urdu,6.4
Close Enough,English,7.7
My Absolute Boyfriend,Korean,6.8
The Good Detective,Korean,7.4
Graceful Friends,Korean,6.4
A Millionaires First Love,"English, French, Latin, Arabic",6.9
Saem,Korean,6.2
Yongsoon,Korean,5.8
Student A,Korean,6.9
Heung-Boo: The Revolutionist,Korean,6.1
Hello Carbot The Movie: Save The Moon,Korean,7.8
The Lighthouse,English,7.5
Last Christmas,"English, Serbo-Croatian, Mandarin, French",6.5
Family Ties,English,7.2
Dont Let Go,Hindi,7.2
Lara and the Beat,English,5.8
Wild Rose,English,7.2
Pets United,English,3.8
The Barrier,Spanish,6.8
The Duchess,English,6.9
Dad Wanted,Spanish,5.7
My Story,Malayalam,4.5
The Babysitter: Killer Queen,English,5.8
The Idhun Chronicles,Spanish,5.4
Julie and the Phantoms,English,8.4
A Journey to the Beginning of Time,Czech,7.4
Invention for Destruction,Czech,7.5
The Little Man,Czech,7.4
Icing,Czech,5.5
The Fabulous Baron Munchausen,Czech,7.7
Voyage to the End of the Universe,Czech,7
The Teacher,Slovak,7.3
Whos Afraid of the Wolf,"English, German",6.6
PhotoCopy,Arabic,7.5
Poshter Girl,Marathi,6.8
Satria Heroes: Revenge of the Darkness,Indonesian,3.7
Son Of Adam,Malayalam,8
So Much Love to Give,Spanish,5.2
Kaagar,Marathi,6
Dhh,"Gujarati, Hindi",7.8
Cycle,Malayalam,6.3
Cuties,"French, Wolof, Arabic, Spanish, English",3.1
Get Organized with The Home Edit,English,4.4
The Social Dilemma,English,7.7
Ani... Dr. Kashinath Ghanekar,Marathi,8.6
Aapla Manus,Marathi,7.1
Strangled,Hungarian,7
A Kind of America,"Hungarian, English",6.9
