Title,Languages,Score
King Shakir,Turkish,5.6
Kukuli,"Quechua, Spanish",6.4
Exatlon,Turkish,3.8
Nadide Hayat,Turkish,6.4
Nefes,Turkish,6
One Love,English,6.4
Out of Love,Hindi,7.1
Perfect Strangers,Italian,7.8
Second Chance,English,7.5
Talking Animals,English,7.6
The Crooked Man,English,4.3
The Other,English,6.9
Turkish Ice Cream,"Turkish, English",6.4
Veda,Turkish,5.2
Water and Fire,Turkish,6.2
What If,English,6.8
Wind,English,6.4
Youre My Home,English,7.7
Yahsi Bati,"Turkish, English",7.4
Maskeli Besler Kibris,Turkish,3.1
Maskeli Besler Irak,"English, Turkish",3.7
Living in Oblivion,English,7.5
Kelebekler,Turkish,6.3
Ketenpere,Turkish,4.4
Kaybedenler Kulubu,Turkish,6
Is This Love?,English,1.7
Hep Yek 2,Turkish,4.2
Hep Yek,Turkish,4.2
Feride,Turkish,5.4
Entrusted,English,6.4
Cute & Dangerous,"Turkish, Arabic",6.1
Canakkale 1915,Turkish,6.4
Arif V 216,Turkish,7.1
Angel of Death,English,5
Anadolu Kartallari,Turkish,6.2
4N1K,Turkish,5.6
Pyromanen,Swedish,6.9
The Ash Lad: In the Hall of the Mountain King,Norwegian,6.2
The Cake General,Swedish,6.8
The Violin Player,Hindi,6.9
Three Heists and a Hamster,"Danish, English, Italian",5.2
Up in the Sky,English,7.9
Louis & Luca - The Big Cheese Race,English,6.3
Holy Mess,Swedish,5.5
Gilberts Grim Revenge,English,7.5
Deck the Halls,"English, German",5
All Inclusive,Swedish,5.5
I Can Only Imagine,English,7.3
Moominvalley,"English, Finnish",7.2
The Return of the Condor Heroes,Mandarin,7.3
Stepping Out,English,6.4
Heroes,"English, Japanese, Spanish",7.5
Vettai,Tamil,5.9
Wild Orchids,English,6.5
Zero to Hero,English,2.6
Mystery,English,7
Morning Express,English,7.3
Masters Of The Sea,English,8.3
Metamorphosis,"English, Hungarian",3.6
Immortal Love,Turkish,6.8
The Golden Pillow,Mandarin,7.8
The Champion,"None, English",6.8
Me & You vs The World,"English, French",8.1
S.A.M.,English,5.7
Take Point,"Korean, English",5.4
Superstition,English,5.8
Tokan,Malay,4.1
Usop Wilcha Meghonjang Makhluk Muzium,Malay,4.1
Dziewczyny ze Lwowa,Polish,5.8
Ejen Ali The Movie,"Malay, English",8.6
1920. Wojna i milosc,Polish,6.9
Blood Ties,"English, Italian, Spanish",6.5
"Aku Ada, Kau Ada???",Malay,4.1
Triple Trouble,None,5.2
Legiony,Polish,5.3
Romance on the Menu,English,5.6
Sweet River,English,5.6
Erotica 2022,Polish,3.4
The Way Back,"English, Russian, Polish, Tibetan, Mongolian",7.3
The Whistleblower,"English, Romanian, Russian, Serbian, Ukrainian",7.1
Hot Mess,English,7.1
Promare,Japanese,7.1
The Prom,German,6.3
Torbaaz,Hindi,6.5
Lamico di famiglia,Greek,5.5
Giving Voice,English,6.7
From Zero to Ten,Italian,5.9
City Hunter: Shinjuku Private Eyes,Japanese,6.5
Canvas,English,6.6
A Trash Truck Christmas,English,5.3
Over Drive,Japanese,5.9
"Its Me, Its Me","English, Hebrew",7.3
Running Against the Wind,Amharic,8.7
Cuidado con lo que deseas,Spanish,4.2
Funny Boy,French,4.6
Shes the One,English,5.8
The Panti Sisters,"Tagalog, Filipino",5.5
Just The Way You Are,English,5.9
Rose Island,"Italian, French, German",7
Winter Flies,Czech,6.4
The Surgeons Cut,English,4.9
Friday,English,7.3
"Kalel, 15","Tagalog, Filipino",7.3
Once Upon a Time,English,7.7
Spirit Riding Free: Ride Along Adventure,English,5.9
Babel,"English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language",7.4
Melbourne Rewind,Indonesian,5.7
Andr̩ & his olive tree,"Swedish, English",5.4
The War of the Worlds,"English, Spanish",7.1
Only the Animals,French,7
Stage Mother,English,6.5
Messages from the Sea,Arabic,7.3
Teer Enta,Arabic,7.2
Double Team,"English, Italian",4.8
Alzheimers,Persian,5.4
The Pet Girl of Sakurasou,Japanese,7.8
100 Things,"German, English, Finnish",6.4
World on Fire,"English, Polish, German, French",7.2
Little Book of Love 2,Portuguese,5.3
Isolados,Portuguese,5.4
In Therapy,Portuguese,6.4
100 Days My Prince,Korean,7.5
Open Your Eyes,Spanish,7.7
Hover,English,3.8
Halloween 4: The Return of Michael Myers,English,5.9
Dear Secret Santa,English,6.3
Spirit,Malayalam,7.5
The Ultimate Braai Master,English,7.1
Hard Copy,English,3.8
Bedford Wives,English,5.1
Still Born,Swedish,6.9
The Grooms Price,English,7.8
The Captain of Nakara,"English, Swahili",7.5
Nothing But Thirty,Mandarin,7.2
More than Friends,English,5.8
Love Again,English,5.9
Graceful Family,Korean,7.9
Devilish Charm,English,3.5
"My TYRANO: Together, Forever","Japanese, Mandarin",6.8
Queen & Slim,"Hindi, English, French, Japanese, Dutch",8.2
Emma,English,6.6
Abominable,"English, Mandarin",7
Detention,English,5.7
Mighty Express: A Mighty Christmas,English,5
The Forest of Wool and Steel,Japanese,6.3
MANK,"English, German, Latin",7.1
Selena: The Series,English,6.6
Bhaag Beanie Bhaag,,4.1
Christmas Crossfire,"German, English",4.8
Captain Underpants Mega Blissmas,English,5.2
Body Cam,English,5.3
Tenchi: The Samurai Astronomer,Japanese,6.8
The Fallen Angel,Japanese,6
The Whistlers,"Romanian, English, Spanish",6.3
Just Another Christmas,Portuguese,6.7
Chico Bon Bon and the Very Berry Holiday,English,5.3
Break,"Russian, English",4.5
Mutafukaz,English,7
Must Be... Love,"Filipino, Tagalog",6.8
Between Maybes,"Filipino, Tagalog, Japanese",6.3
RELIC,English,6
The Truth,"French, English",6.5
Fierce,English,7.8
Hazel Brugger: Tropical,German,6.4
Alien Worlds,English,6.3
Speak of The Devil,English,6.8
Friends Of Friends,German,7.1
Champions,Spanish,7.3
Lone Wolf,English,4.4
After We Collided,"English, Chinese",5
Hard to Kill,English,5.8
Once Again,Hindi,7
The Bachelorette,English,3.4
The Holiday Movies That Made Us,English,7.2
Are You The One,English,6.5
U-Turn,Greek,6.2
Being Frank,English,6
Angelas Christmas Wish,English,6.4
The Silent Revolution,"German, Russian",7.4
The Sunlit Night,"English, Norwegian",6.1
The Room,English,3.7
Dora and the Lost City of Gold,"English, Spanish, Quechua",6.1
Blue Story,English,6
Twelve Nights,Mandarin,7.6
Matrimonial Chaos,Korean,7.2
"Fujoshi, Ukkari Gei ni Kokuru",Japanese,7
Pool,Japanese,5.8
The Rhythm Section,"English, French",5.3
The Return of Godzilla,Japanese,7
Son of Godzilla,Japanese,5.3
Terror of Mechagodzilla,Japanese,6.2
Until the Break of Dawn,Japanese,6.5
Gokusen: The Movie,Japanese,6.1
Godzilla vs. SpaceGodzilla,Japanese,6
Godzilla vs. Megalon,Japanese,4.8
